PARTNERID,PARTNERROLE,EMAILADDRESS,PHONENUMBER,FAXNUMBER,WEBADDRESS,ADDRESSID.ADDRESSID,COMPANYNAME,LEGALFORM,CURRENCY
0100000000,01,karl.mueller@sap.com,0622734567,,http://www.sap.com,1000000034,SAP,AG,EUR
0100000001,02,dagmar.schulze@beckerberlin.de,3088530,,http://www.beckerberlin.de,1000000035,Becker Berlin,GmbH,EUR
0100000002,01,maria.brown@delbont.com,3023352668,,http://www.delbont.com,1000000036,DelBont Industries,Ltd.,USD
0100000003,01,saskia.sommer@talpa-hannover.de,511403266,,http://www.talpa-hannover.de,1000000037,Talpa,GmbH,EUR
0100000004,01,bob.buyer@panorama-studios.biz,2244668800,,http://www.panorama-studios.biz,1000000038,Panorama Studios,Inc.,USD
0100000005,01,bart.koenig@tecum-ag.de,2511415,,http://www.tecum-ag.de,1000000039,TECUM,AG,EUR
0100000006,01,yoko.nakamura@asia-ht.com,9078563412,,http://www.asia-ht.com,1000000040,Asia High tech,Inc.,JPY
0100000007,01,sophie.ribery@laurent-paris.com,149744423,,http://www.laurent-paris.com,1000000041,Laurent,S.A.,EUR
0100000008,01,victor.sanchez@avantel.com,7257716,,http://www.avantel.com,1000000042,AVANTEL,S.A.,MXN
0100000009,01,jorge.velez@telecomunicacionesstar.com,1133557799,,http://www.telecomunicacionesstar.com,1000000043,Telecomunicaciones Star,S.A.,ARS
0100000010,02,franklin.jones@pear-computing.com,6789012345,,http://www.pear-computing.com,1000000044,Pear Computing Services,Inc.,USD
0100000011,01,joseph_gschwandtner@alp-systems.at,6623612804,,http://www.alp-systems.at,1000000045,Alpine Systems,AG,EUR
0100000012,01,george_d_grant@newlinedesign.co.uk,2589436180,,http://www.newlinedesign.co.uk,1000000046,New Line Design,Ltd.,GBP
0100000013,01,sarah.schwind@hepa-tec.de,4507867136,,http://www.hepa-tec.de,1000000047,HEPA Tec,GmbH,EUR
0100000014,01,theodor.monathy@anavideon.com,5850428367,,http://www.anavideon.com,1000000048,Anav Ideon,Ltd.,USD
0100000015,01,robert_brown@rb-entertainment.ca,7609448173,,http://www.rb-entertainment.ca,1000000049,Robert Brown Entertainment,Ltd.,CAD
0100000016,01,jorgemontalban@motc.mx,6879342945,,http://www.motc.mx,1000000050,Mexican Oil Trading Company,S.A.,MXN
0100000017,01,johanna.esther@meliva.de,2208791738,,http://www.meliva.de,1000000051,Meliva,AG,EUR
0100000018,01,miguel.luengo@compostela.ar,4440238917,,http://www.compostela.ar,1000000052,Compostela,S.A.,ARS
